2026-04-25T15:29:03.784070 | 2026-04-25 | FACT-2026-04-25-0039 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-25T15:29:03.784074 | 2026-04-25 | FACT-2026-04-25-0040 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-25T15:29:03.784076 | 2026-04-25 | FACT-2026-04-25-0042 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840787 | 2026-04-25 | FACT-2026-04-25-0047 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840792 | 2026-04-25 | FACT-2026-04-25-0048 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840794 | 2026-04-25 | FACT-2026-04-25-0049 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840796 | 2026-04-25 | FACT-2026-04-25-0050 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840797 | 2026-04-25 | FACT-2026-04-25-0051 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840798 | 2026-04-25 | FACT-2026-04-25-0052 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840799 | 2026-04-25 | FACT-2026-04-25-0053 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840800 | 2026-04-25 | FACT-2026-04-25-0054 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840801 | 2026-04-25 | FACT-2026-04-25-0055 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840802 | 2026-04-25 | FACT-2026-04-25-0056 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840803 | 2026-04-25 | FACT-2026-04-25-0058 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T02:00:17.840804 | 2026-04-25 | FACT-2026-04-25-0059 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T02:00:17.840805 | 2026-04-25 | FACT-2026-04-25-0060 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840806 | 2026-04-25 | FACT-2026-04-25-0061 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840807 | 2026-04-25 | FACT-2026-04-25-0063 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840808 | 2026-04-25 | FACT-2026-04-25-0064 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840809 | 2026-04-25 | FACT-2026-04-25-0065 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840810 | 2026-04-25 | FACT-2026-04-25-0067 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840811 | 2026-04-25 | FACT-2026-04-25-0069 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T02:00:17.840812 | 2026-04-25 | FACT-2026-04-25-0070 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:29:13.340410 | 2026-04-26 | FACT-2026-04-26-0001 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:29:13.340414 | 2026-04-26 | FACT-2026-04-26-0002 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:29:13.340415 | 2026-04-26 | FACT-2026-04-26-0003 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:29:13.340416 | 2026-04-26 | FACT-2026-04-26-0004 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:29:13.340417 | 2026-04-26 | FACT-2026-04-26-0005 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T09:30:57.782703 | 2026-04-26 | FACT-2026-04-26-0001 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782707 | 2026-04-26 | FACT-2026-04-26-0002 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782708 | 2026-04-26 | FACT-2026-04-26-0003 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:30:57.782710 | 2026-04-26 | FACT-2026-04-26-0004 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:30:57.782711 | 2026-04-26 | FACT-2026-04-26-0005 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T09:30:57.782711 | 2026-04-26 | FACT-2026-04-26-0006 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782712 | 2026-04-26 | FACT-2026-04-26-0007 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
